xVal, yVal, degree, r2, rmse
DailyLoad, DailyLoadSliding, 1, 0.43547102243023217, 220.0961525453662
DailyLoad, DailyLoadSliding, 2, 0.4395850896947021, 219.29269854539046
DailyLoad, DailyLoadSliding, 3, 0.4395851750834222, 219.29268183890815
DailyLoad, DailyLoadSliding, 4, 0.4407301218978247, 219.06855605031492
DailyLoad, DailyLoadSliding, 5, 0.44163341983840276, 218.89157160110392
DailyLoad, acuteChronicRatio, 1, 0.2036344382117684, 0.6675758904083244
DailyLoad, acuteChronicRatio, 2, 0.2225907731816099, 0.6595826961186229
DailyLoad, acuteChronicRatio, 3, 0.22569204903293028, 0.6582657629359487
DailyLoad, acuteChronicRatio, 4, 0.22682319674268392, 0.657784773464178
DailyLoad, acuteChronicRatio, 5, 0.2299011526244381, 0.6564741731589157
DailyLoad, acuteChronicRatioSliding, 1, 0.08191150459879548, 0.46070280508684464
DailyLoad, acuteChronicRatioSliding, 2, 0.08350340408828272, 0.4603032190162654
DailyLoad, acuteChronicRatioSliding, 3, 0.08387400805713785, 0.46021014313933695
DailyLoad, acuteChronicRatioSliding, 4, 0.0847210836697816, 0.45999733237606727
DailyLoad, acuteChronicRatioSliding, 5, 0.08506585065991057, 0.4599106883868301
DailyLoad, trainDuration, 1, 0.8603505230540016, 31.325485038659917
DailyLoad, trainDuration, 2, 0.895540397428708, 27.092702751867783
DailyLoad, trainDuration, 3, 0.8968963395705208, 26.91628942897981
DailyLoad, trainDuration, 4, 0.8974663466495758, 26.84178315328193
DailyLoad, trainDuration, 5, 0.8986737951855702, 26.68326908051855
DailyLoad, trainDurationSliding, 1, 0.41728648271425894, 45.62094407121064
DailyLoad, trainDurationSliding, 2, 0.4373738503226734, 44.82772289334107
DailyLoad, trainDurationSliding, 3, 0.4377909064140846, 44.81110516164391
DailyLoad, trainDurationSliding, 4, 0.4382691093173168, 44.79204342866282
DailyLoad, trainDurationSliding, 5, 0.43831755833281993, 44.790111741054325
DailyLoad, sleepHours, 1, 0.007142007576262155, 1.2881967626117155
DailyLoad, sleepHours, 2, 0.007148188022358504, 1.2881927531546211
DailyLoad, sleepHours, 3, 0.007884837946448342, 1.2877147748871853
DailyLoad, sleepHours, 4, 0.007975819768443637, 1.2876557286559416
DailyLoad, sleepHours, 5, 0.008052991463216252, 1.2876056429274472
DailyLoad, sleepHoursSliding, 1, 0.019545287768685804, 0.584962255931936
DailyLoad, sleepHoursSliding, 2, 0.020088941454910914, 0.5848000551798747
DailyLoad, sleepHoursSliding, 3, 0.02055115901876503, 0.5846621157529936
DailyLoad, sleepHoursSliding, 4, 0.022089240541790733, 0.5842028721071504
DailyLoad, sleepHoursSliding, 5, 0.02223180222623844, 0.584160287453959
DailyLoad, fatigue, 1, 0.0004609869345519879, 0.9414140376537236
DailyLoad, fatigue, 2, 0.01081491590759509, 0.9365254300145728
DailyLoad, fatigue, 3, 0.013075886827278227, 0.9354545140938101
DailyLoad, fatigue, 4, 0.013871725612309982, 0.9350772707390621
DailyLoad, fatigue, 5, 0.013872676932596972, 0.9350768197033221
DailyLoad, fatigueSliding, 1, 0.0026508263511236807, 0.4372333179520449
DailyLoad, fatigueSliding, 2, 0.007885710862688966, 0.4360843335533719
DailyLoad, fatigueSliding, 3, 0.010453728094075743, 0.43551958123003714
DailyLoad, fatigueSliding, 4, 0.010618419541746138, 0.43548333768237124
DailyLoad, fatigueSliding, 5, 0.011054975220036178, 0.4353872505388315
DailyLoad, sleepQuality, 1, 0.0035540362519845825, 1.0670673779455226
DailyLoad, sleepQuality, 2, 0.003629033828128514, 1.067027220738953
DailyLoad, sleepQuality, 3, 0.003908551303328678, 1.0668775407074202
