"","gameID","playerID","averageSpeed","accelerationVector"
"1",1,2,0.790156218745573,1.0984886027971
"2",2,2,1.74421568677905,1.16129889790784
"3",3,2,1.07787746041134,1.10351847363523
"4",4,2,1.21107942650256,1.13246482933397
"5",5,2,0.0137764499693478,1.06474272290467
"6",6,2,1.94120558109787,1.146865298664
"7",7,2,1.22020736168799,1.12848585324374
"8",8,2,1.34394880308456,1.13562836551868
"9",9,2,1.16234840998408,1.12239524586719
"10",10,2,1.03789513301476,1.12260389477498
"11",11,2,1.95249813187896,1.16018587350874
"12",12,2,0.223656610333639,1.06756021876023
"13",13,2,0.829283553086806,1.0991314961471
"14",14,2,0.15852836373719,1.06759394513467
"15",15,2,1.12074602135577,1.11513380371634
"16",16,2,0.971054601439169,1.10463881568274
"17",17,2,0.869261365568522,1.10030018034645
"18",18,2,1.25156863060178,1.12646920213549
"19",19,2,1.92233943230709,1.16818424510756
"20",20,2,0.649062029481435,1.08486694104424
"21",21,2,0.670886363718549,1.0877274137206
"22",22,2,1.07041086767478,1.12527024421626
"23",23,2,1.34733708098004,1.13125329230651
"24",24,2,1.92233943230709,1.16818424510756
"25",25,2,0.649062029481435,1.08486694104424
"26",26,2,0.670886363718549,1.0877274137206
"27",27,2,1.07041086767478,1.12527024421626
"28",28,2,1.34733708098004,1.13125329230651
"29",29,2,0.854015657755256,1.10323072993156
"30",30,2,1.84124984163638,1.14936689436886
"31",31,2,1.14213183014974,1.12247088147764
"32",32,2,0.747148624376757,1.15302465502118
"33",33,2,0.955682448262175,1.09936692283938
"34",34,2,0.571048432694349,1.08907791458436
"35",35,2,0.669725927665975,1.09313578136609
"36",36,2,0.738101857808688,1.08770291503587
"37",37,2,0.339206262169712,1.07173976425182
"38",38,2,1.80606261172781,1.15253356565467
"39",1,3,1.28589934082386,1.12319736088361
"40",2,3,1.11919276939115,1.12400349638768
"41",3,3,1.26526643744858,1.12475879989089
"42",4,3,1.41843108886165,1.12769556423203
"43",5,3,1.3952622773171,1.12836112325742
"44",6,3,0.0211561590516235,1.06010498483615
"45",7,3,1.40269604443183,1.13471085317652
"46",8,3,1.57214563065393,1.14071392944187
"47",9,3,1.37033003104991,1.13296169932273
"48",10,3,1.35811042459937,1.16220563093959
"49",11,3,0.0406068795995551,1.05616194835639
"50",12,3,1.40887168417965,1.12080573606489
"51",13,3,1.53383759403768,1.12571881100781
"52",14,3,1.46228698250083,1.12708035940326
"53",15,3,1.02959031047728,1.13025308248774
"54",16,3,1.45148020420994,1.12897009153938
"55",17,3,NA,NA
"56",18,3,NA,NA
"57",19,3,NA,NA
"58",20,3,NA,NA
"59",21,3,NA,NA
"60",22,3,NA,NA
"61",23,3,NA,NA
"62",24,3,NA,NA
"63",25,3,NA,NA
"64",26,3,NA,NA
"65",27,3,NA,NA
"66",28,3,NA,NA
"67",29,3,1.60859397929703,1.13084277780543
"68",30,3,1.50587829200883,1.12511387973254
"69",31,3,0.899724012963328,1.1108612448773
"70",32,3,1.57137036050047,1.13580950623037
"71",33,3,1.60841771943073,1.13966448786291
"72",34,3,1.36390732486419,1.13409907143999
"73",35,3,0.978174287994467,1.10540476529112
"74",36,3,1.59755311245667,1.13604886115661
"75",37,3,1.5188695084037,1.12552272191366
"76",38,3,1.29332494175891,1.12317749322947
"77",1,4,0.752166129328984,1.13302768044503
"78",2,4,1.57984902625838,1.17437617101144
"79",3,4,1.08484841692792,1.13854617631975
"80",4,4,0.25641842632975,1.09447871565124
"81",5,4,0.706500061197945,1.11504830107795
"82",6,4,1.62136816485343,1.1714904144788
"83",7,4,0.888945621662571,1.13397244059695
"84",8,4,0.893275873988922,1.12831772297988
"85",9,4,1.54783166673203,1.17320094742758
"86",10,4,1.44135114502091,1.16186502846703
"87",11,4,0.0485221621646274,1.0870269613311
"88",12,4,1.42473787469111,1.15662283821991
"89",13,4,1.55905337880035,1.1723623269336
"90",14,4,1.3888670431405,1.16748859706223
"91",15,4,1.41759082159156,1.16051008904577
"92",16,4,1.34946736707715,1.1523025530755
